	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_903828075.1												903828075v1_00933,903828075v1_02280								903828075v1_02020	903828075v1_00521	903828075v1_00520		903828075v1_03910,903828075v1_05248,903828075v1_01199,903828075v1_05400,903828075v1_01679									903828075v1_04603,903828075v1_00273,903828075v1_00138					903828075v1_04530									903828075v1_02911	903828075v1_00781,903828075v1_02912	903828075v1_03488,903828075v1_02913	903828075v1_02914,903828075v1_03487	903828075v1_02918,903828075v1_02852	903828075v1_02919,903828075v1_01781	903828075v1_02920,903828075v1_02853	903828075v1_02921	903828075v1_02922,903828075v1_04377,903828075v1_02047	903828075v1_04378,903828075v1_02923,903828075v1_02048,903828075v1_03394	903828075v1_02924,903828075v1_04379		903828075v1_02476																							
GCA_903853795.1																				903853795v1_02044		903853795v1_02043		903853795v1_02197,903853795v1_03862								903853795v1_03327	903853795v1_00668		903853795v1_01371			903853795v1_01023,903853795v1_00440,903853795v1_02500										903853795v1_02572		903853795v1_01300	903853795v1_01822,903853795v1_02988		903853795v1_02989	903853795v1_02990	903853795v1_01406,903853795v1_01401	903853795v1_01400,903853795v1_01154,903853795v1_01405	903853795v1_01153,903853795v1_01399,903853795v1_00954																		903853795v1_02204	903853795v1_02206	903853795v1_02205			903853795v1_01831		
GCA_903924245.1												903924245v1_03826,903924245v1_03119								903924245v1_05952	903924245v1_02902	903924245v1_05953	903924245v1_03556	903924245v1_00283,903924245v1_02639,903924245v1_05648,903924245v1_04028,903924245v1_02556			903924245v1_00411				903924245v1_02126	903924245v1_03694,903924245v1_05545	903924245v1_01826		903924245v1_02191			903924245v1_05610				903924245v1_04229					903924245v1_01678,903924245v1_02819	903924245v1_04401,903924245v1_02818,903924245v1_01867	903924245v1_01868,903924245v1_02817,903924245v1_04724,903924245v1_00088	903924245v1_02816,903924245v1_00087,903924245v1_04725,903924245v1_01869	903924245v1_02018,903924245v1_02071	903924245v1_02017,903924245v1_01680	903924245v1_02016,903924245v1_02070	903924245v1_02015,903924245v1_02069	903924245v1_04699,903924245v1_02014,903924245v1_04395	903924245v1_04700,903924245v1_06017,903924245v1_04394	903924245v1_04701,903924245v1_06016,903924245v1_02784		903924245v1_01013																903924245v1_00748	903924245v1_00746	903924245v1_00747	903924245v1_00744	903924245v1_02585	903924245v1_00745	903924245v1_02586	903924245v1_00743
GCA_903911795.1												903911795v1_00438,903911795v1_03794								903911795v1_01948	903911795v1_01946	903911795v1_01947	903911795v1_02647	903911795v1_03175,903911795v1_03917,903911795v1_00558,903911795v1_02736,903911795v1_01294			903911795v1_00784				903911795v1_00535	903911795v1_06676,903911795v1_02902	903911795v1_02173	903911795v1_02795	903911795v1_06171,903911795v1_02794			903911795v1_04175,903911795v1_03047				903911795v1_02092					903911795v1_01360,903911795v1_04946,903911795v1_03463	903911795v1_05115,903911795v1_04945,903911795v1_03464	903911795v1_05570,903911795v1_04944,903911795v1_03465	903911795v1_04943,903911795v1_03466	903911795v1_00727,903911795v1_02283	903911795v1_00728,903911795v1_01358	903911795v1_00729,903911795v1_02282	903911795v1_00730,903911795v1_02281	903911795v1_00731,903911795v1_02357,903911795v1_02610,903911795v1_03268	903911795v1_02358,903911795v1_00732,903911795v1_03269	903911795v1_02359,903911795v1_00733,903911795v1_05029		903911795v1_05683																903911795v1_05166	903911795v1_05168	903911795v1_05167	903911795v1_05170	903911795v1_03905	903911795v1_05169	903911795v1_03904	
GCA_014380755.1																				014380755v1_03511	014380755v1_04198	014380755v1_04197		014380755v1_01431									014380755v1_04581	014380755v1_04061	014380755v1_04062												014380755v1_02785,014380755v1_01428	014380755v1_01127			014380755v1_04104	014380755v1_04769,014380755v1_02783	014380755v1_04768,014380755v1_04103	014380755v1_04102	014380755v1_00660,014380755v1_01410,014380755v1_00989,014380755v1_03547	014380755v1_03989,014380755v1_04115,014380755v1_01409	014380755v1_04116,014380755v1_00618,014380755v1_04550																		014380755v1_02580	014380755v1_02582	014380755v1_02581	014380755v1_01437		014380755v1_01436		014380755v1_01438
GCA_011046995.1												011046995v1_02726,011046995v1_02725				011046995v1_02706	011046995v1_02705			011046995v1_00557		011046995v1_00558		011046995v1_01480,011046995v1_03186							011046995v1_00311	011046995v1_01340	011046995v1_01196,011046995v1_00036	011046995v1_01834	011046995v1_02032,011046995v1_01832												011046995v1_01941,011046995v1_01958,011046995v1_00217,011046995v1_00638	011046995v1_00415,011046995v1_00639,011046995v1_00218	011046995v1_01959,011046995v1_01942,011046995v1_00219,011046995v1_00641	011046995v1_00220,011046995v1_00642,011046995v1_01960,011046995v1_01943	011046995v1_00646,011046995v1_00227	011046995v1_00228,011046995v1_00647,011046995v1_01956,011046995v1_01939	011046995v1_00229,011046995v1_00648	011046995v1_00649,011046995v1_00230	011046995v1_00650,011046995v1_00231,011046995v1_01320	011046995v1_00651,011046995v1_00232,011046995v1_01319	011046995v1_00652		011046995v1_01906																011046995v1_00803	011046995v1_00805				011046995v1_00806		
GCA_002279375.1												002279375v1_01579,002279375v1_01059				002279375v1_03852					002279375v1_01837			002279375v1_03322			002279375v1_03138					002279375v1_00347		002279375v1_01221	002279375v1_03002												002279375v1_00552		002279375v1_03608	002279375v1_03609,002279375v1_01251	002279375v1_03408	002279375v1_02179,002279375v1_03407		002279375v1_03406,002279375v1_00370	002279375v1_00371,002279375v1_02103,002279375v1_03405,002279375v1_03402	002279375v1_03401,002279375v1_02605	002279375v1_01366																		002279375v1_03135	002279375v1_03133		002279375v1_03314		002279375v1_03132		002279375v1_03313
GCA_001707835.1												001707835v1_03231,001707835v1_04344				001707835v1_02146	001707835v1_02144				001707835v1_00343		001707835v1_03782	001707835v1_03779,001707835v1_02266,001707835v1_00702,001707835v1_01630,001707835v1_01613			001707835v1_01684					001707835v1_01422	001707835v1_04476,001707835v1_03845					001707835v1_02510				001707835v1_01411					001707835v1_04135,001707835v1_00635	001707835v1_00381,001707835v1_00634	001707835v1_04134,001707835v1_00633	001707835v1_00632,001707835v1_04133	001707835v1_00626,001707835v1_00951	001707835v1_00625,001707835v1_04137	001707835v1_00624,001707835v1_00952	001707835v1_00623,001707835v1_00953	001707835v1_00622,001707835v1_00954	001707835v1_00955,001707835v1_00621	001707835v1_00620,001707835v1_00956																		001707835v1_00857	001707835v1_00859	001707835v1_00858	001707835v1_00861	001707835v1_00863	001707835v1_00860	001707835v1_00864	001707835v1_00862
GCA_008080545.1												008080545v1_00648,008080545v1_03599,008080545v1_01901				008080545v1_04063,008080545v1_04064				008080545v1_00744	008080545v1_00741	008080545v1_00742		008080545v1_01454			008080545v1_02695					008080545v1_03658	008080545v1_02263	008080545v1_03453	008080545v1_03454			008080545v1_02735,008080545v1_02669									008080545v1_03292	008080545v1_01947,008080545v1_03291	008080545v1_03289,008080545v1_02292	008080545v1_03287,008080545v1_02293,008080545v1_02294	008080545v1_02231	008080545v1_01171	008080545v1_02230	008080545v1_02229,008080545v1_02407	008080545v1_02228,008080545v1_02408,008080545v1_02839,008080545v1_03502	008080545v1_02227,008080545v1_02226	008080545v1_03820,008080545v1_02002																		008080545v1_00029	008080545v1_00031		008080545v1_04105	008080545v1_04107,008080545v1_04108	008080545v1_00032	008080545v1_04109	008080545v1_04106
GCA_005778115.1					005778115v1_00991							005778115v1_03874,005778115v1_00373,005778115v1_00371		005778115v1_00611		005778115v1_00609	005778115v1_01506			005778115v1_05783	005778115v1_05781	005778115v1_05782	005778115v1_05387	005778115v1_03642,005778115v1_04379,005778115v1_05757,005778115v1_01609			005778115v1_02347				005778115v1_03429	005778115v1_00550	005778115v1_03346	005778115v1_02025	005778115v1_02026			005778115v1_02884,005778115v1_04031									005778115v1_03615,005778115v1_01268	005778115v1_00562,005778115v1_01269	005778115v1_03616	005778115v1_03540	005778115v1_02163	005778115v1_03613	005778115v1_02627,005778115v1_02164	005778115v1_02628,005778115v1_02165	005778115v1_02166,005778115v1_01930,005778115v1_03725,005778115v1_02116	005778115v1_01929,005778115v1_02115,005778115v1_03724	005778115v1_01928,005778115v1_02358,005778115v1_02114																		005778115v1_01461	005778115v1_01459				005778115v1_01458		
GCA_005798485.1					005798485v1_04961							005798485v1_00602,005798485v1_00846,005798485v1_00844				005798485v1_01318	005798485v1_00976			005798485v1_02269	005798485v1_02267	005798485v1_02268	005798485v1_02780	005798485v1_01738,005798485v1_00802,005798485v1_05742,005798485v1_00230			005798485v1_02729				005798485v1_02999	005798485v1_03557	005798485v1_03837,005798485v1_05398	005798485v1_00628	005798485v1_00629			005798485v1_02043,005798485v1_04167									005798485v1_05407		005798485v1_05406	005798485v1_05404	005798485v1_03215,005798485v1_05776	005798485v1_03217,005798485v1_05409	005798485v1_04160,005798485v1_05777	005798485v1_04159,005798485v1_05778	005798485v1_05779,005798485v1_03732,005798485v1_03119,005798485v1_01995	005798485v1_05780,005798485v1_03733,005798485v1_01996,005798485v1_03120	005798485v1_01598,005798485v1_03734,005798485v1_01997																		005798485v1_03424	005798485v1_03426				005798485v1_03427		
GCA_005799905.1												005799905v1_02296,005799905v1_01046,005799905v1_00396,005799905v1_02088				005799905v1_01891,005799905v1_02096	005799905v1_00312			005799905v1_00881	005799905v1_00879	005799905v1_00880		005799905v1_03902,005799905v1_05525,005799905v1_00024,005799905v1_02611,005799905v1_04948			005799905v1_01228,005799905v1_05034				005799905v1_01508,005799905v1_03246	005799905v1_01217	005799905v1_03508,005799905v1_03283	005799905v1_04356	005799905v1_04355			005799905v1_03264									005799905v1_03560	005799905v1_03561		005799905v1_05594			005799905v1_04008	005799905v1_04007	005799905v1_01721	005799905v1_04317	005799905v1_04319																		005799905v1_02528	005799905v1_02530					005799905v1_03523	
GCA_005790305.1					005790305v1_09628							005790305v1_06692,005790305v1_03376,005790305v1_06635,005790305v1_03374,005790305v1_06637		005790305v1_01322		005790305v1_09448,005790305v1_01324	005790305v1_07319,005790305v1_02742			005790305v1_05824	005790305v1_05826	005790305v1_05825	005790305v1_04718	005790305v1_04341,005790305v1_09073,005790305v1_02499,005790305v1_09768,005790305v1_10126,005790305v1_05441,005790305v1_06803			005790305v1_02491,005790305v1_00279				005790305v1_01191	005790305v1_03355,005790305v1_06783	005790305v1_00606,005790305v1_10032	005790305v1_06924,005790305v1_00055	005790305v1_06923,005790305v1_00056			005790305v1_02963,005790305v1_02057,005790305v1_10428									005790305v1_02100,005790305v1_09477,005790305v1_07229,005790305v1_00559	005790305v1_08847	005790305v1_09476,005790305v1_07228	005790305v1_09474,005790305v1_07226	005790305v1_03126,005790305v1_09257	005790305v1_03128,005790305v1_07231,005790305v1_09479	005790305v1_07255,005790305v1_05718,005790305v1_09256	005790305v1_07256,005790305v1_05717,005790305v1_09255	005790305v1_09254,005790305v1_00413,005790305v1_06309,005790305v1_09633,005790305v1_09142,005790305v1_02134	005790305v1_09634,005790305v1_00412,005790305v1_07648,005790305v1_02133,005790305v1_09143	005790305v1_09635,005790305v1_07649,005790305v1_05710,005790305v1_00411,005790305v1_01101																		005790305v1_05958,005790305v1_01143	005790305v1_01141,005790305v1_05956				005790305v1_01140,005790305v1_05955	005790305v1_05211	
GCA_014379175.1											014379175v1_00487	014379175v1_01923,014379175v1_03680,014379175v1_00385				014379175v1_01658	014379175v1_05164			014379175v1_04338	014379175v1_04340	014379175v1_04339		014379175v1_02376,014379175v1_02942,014379175v1_03890,014379175v1_04012							014379175v1_06370	014379175v1_06649	014379175v1_05672,014379175v1_03545	014379175v1_05770	014379175v1_05771,014379175v1_02703			014379175v1_00591,014379175v1_01948									014379175v1_00917	014379175v1_02319	014379175v1_00916,014379175v1_05343	014379175v1_04283,014379175v1_00120	014379175v1_05428	014379175v1_00879	014379175v1_00837,014379175v1_05429	014379175v1_00836,014379175v1_05430	014379175v1_00835,014379175v1_05431,014379175v1_05179	014379175v1_05432,014379175v1_06612,014379175v1_05178	014379175v1_05433,014379175v1_06611																		014379175v1_01422	014379175v1_01424		014379175v1_00655	014379175v1_05980		014379175v1_05981	014379175v1_00657
GCA_005779075.1					005779075v1_00140							005779075v1_05791,005779075v1_03142,005779075v1_03144				005779075v1_01290	005779075v1_01822			005779075v1_03359	005779075v1_03357	005779075v1_03358		005779075v1_01761,005779075v1_00728,005779075v1_04724			005779075v1_04068				005779075v1_04046	005779075v1_01384	005779075v1_00271	005779075v1_04958	005779075v1_04959			005779075v1_00701,005779075v1_02713							005779075v1_05241		005779075v1_05220,005779075v1_02660		005779075v1_02659	005779075v1_02657	005779075v1_05710,005779075v1_02117	005779075v1_05711,005779075v1_02662	005779075v1_05093,005779075v1_02116	005779075v1_05092,005779075v1_02115	005779075v1_02114,005779075v1_04178,005779075v1_00016	005779075v1_04177,005779075v1_02112,005779075v1_00017,005779075v1_02113	005779075v1_02111,005779075v1_04175,005779075v1_00018																		005779075v1_03283	005779075v1_03285					005779075v1_03632	
GCA_005798445.1					005798445v1_05862							005798445v1_02475,005798445v1_01736,005798445v1_01734				005798445v1_01749	005798445v1_03168			005798445v1_03443	005798445v1_03445	005798445v1_03444		005798445v1_05250,005798445v1_03371,005798445v1_02407							005798445v1_04594	005798445v1_00263	005798445v1_02776	005798445v1_00024	005798445v1_00025			005798445v1_01242							005798445v1_04157		005798445v1_06091,005798445v1_04694,005798445v1_03214	005798445v1_06090,005798445v1_03213	005798445v1_04695,005798445v1_03211	005798445v1_03209,005798445v1_04697	005798445v1_05423,005798445v1_05830	005798445v1_05422,005798445v1_04692	005798445v1_05963,005798445v1_05829	005798445v1_05962,005798445v1_05828	005798445v1_05827,005798445v1_02714,005798445v1_00705	005798445v1_05826,005798445v1_02715,005798445v1_00706	005798445v1_05825,005798445v1_02717,005798445v1_00707																		005798445v1_06297	005798445v1_06295					005798445v1_04757	
GCA_016872645.1												016872645v1_02414,016872645v1_04174		016872645v1_00672		016872645v1_00670	016872645v1_00673			016872645v1_01664	016872645v1_01662	016872645v1_01663	016872645v1_01738	016872645v1_01156,016872645v1_00530			016872645v1_03124				016872645v1_02616	016872645v1_03498	016872645v1_01843,016872645v1_01182	016872645v1_00778	016872645v1_00777			016872645v1_00392,016872645v1_03372									016872645v1_04246,016872645v1_02167	016872645v1_02662,016872645v1_04245	016872645v1_02168,016872645v1_04244	016872645v1_04243,016872645v1_02170	016872645v1_04337,016872645v1_01354	016872645v1_04338,016872645v1_02165	016872645v1_01003,016872645v1_01355	016872645v1_01004,016872645v1_01356	016872645v1_01005,016872645v1_01357,016872645v1_03664,016872645v1_03545	016872645v1_01358,016872645v1_01006,016872645v1_03663,016872645v1_03544	016872645v1_01359,016872645v1_01007,016872645v1_03543																			016872645v1_04463				016872645v1_04464	016872645v1_03652	
GCA_009886015.1												009886015v1_00167,009886015v1_02519		009886015v1_01696		009886015v1_01698	009886015v1_01695			009886015v1_03995	009886015v1_03993	009886015v1_03994	009886015v1_01482	009886015v1_04027,009886015v1_00647			009886015v1_02780				009886015v1_03007	009886015v1_02823	009886015v1_01211	009886015v1_03641	009886015v1_03642			009886015v1_02338,009886015v1_01882									009886015v1_02828,009886015v1_01181	009886015v1_01853,009886015v1_01182	009886015v1_02829,009886015v1_01183	009886015v1_01333,009886015v1_02830	009886015v1_00501,009886015v1_01459	009886015v1_00500,009886015v1_02326	009886015v1_01173,009886015v1_01460	009886015v1_01172,009886015v1_01461	009886015v1_01171,009886015v1_01462,009886015v1_03398,009886015v1_00397	009886015v1_01463,009886015v1_03695,009886015v1_00398,009886015v1_03397	009886015v1_01464,009886015v1_03694,009886015v1_00399																		009886015v1_02753	009886015v1_02751		009886015v1_02749	009886015v1_02746	009886015v1_02750	009886015v1_02745	009886015v1_02747
